brand,cigar,market,retailer,stored_price,url,status
Zino,Zino Nicaragua Robusto,UK,cgars,£18.99,https://www.cgarsltd.co.uk/zino-nicaragua-robusto-cigar-single-p-55624.html?keywords=Zino+Nicaragua+Robusto,ready to check
Zino,Zino Nicaragua Toro,UK,cgars,£20.99,https://www.cgarsltd.co.uk/zino-nicaragua-toro-cigar-single-p-55680.html?keywords=Zino+Nicaragua+Toro,ready to check
Arturo Fuente,Arturo Fuente Hemingway Short Story,EU,egm,£11.99,https://egmcigars.com/en-gb/products/arturo-fuente-hemingway-short-story-cigar?variant=43686024937729,ready to check
Bolivar,Bolivar Belicosos Finos,EU,egm,22.99,https://egmcigars.com/en-gb/products/bolivar-belicosos?variant=37316867555486,ready to check
Bolivar,Bolivar Petit Coronas,EU,egm,£14.99,https://egmcigars.com/en-gb/products/bolivar-petit-coronas?variant=9008382476335,ready to check
Cohiba,Cohiba Esplendidos,EU,egm,100.99,https://egmcigars.com/en-gb/products/cohiba-esplendidos-bn-1?variant=9074557124655,ready to check
Cohiba,Cohiba Panetelas,EU,egm,£26.99,https://egmcigars.com/en-gb/products/cohiba-panatelas-bn?variant=47766560178433,ready to check
Cohiba,Cohiba Robusto,EU,egm,61.99,https://egmcigars.com/en-gb/products/cohiba-robusto-slb?variant=9061373673519,ready to check
Cohiba,Cohiba Siglo I,EU,egm,£23.99,https://egmcigars.com/en-gb/products/cohiba-siglo-1-slb?variant=9061311840303,ready to check
Cohiba,Cohiba Siglo II,EU,egm,38.99,https://egmcigars.com/en-gb/products/cohiba-siglo-2-slb?variant=9061330223151,ready to check
Cohiba,Cohiba Siglo III,EU,egm,£59.71,https://www.simplycigars.co.uk/cohiba-siglo-iii-single-cigar-p-453.html,ready to check
Cohiba,Cohiba Siglo IV,EU,egm,£62,https://egmcigars.com/en-gb/products/cohiba-siglo-4-slb?variant=9061352013871,ready to check
Cohiba,Cohiba Siglo V,EU,egm,£95.99,https://egmcigars.com/en-gb/products/cohiba-siglo-5-slb?variant=9008145563695,ready to check
Cohiba,Cohiba Siglo VI,EU,egm,£92.99,https://egmcigars.com/en-gb/products/cohiba-siglo-6-slb?variant=9008183509039,ready to check
Davidoff,Davidoff Escurio Robusto,EU,egm,£18.99,https://egmcigars.com/en-gb/products/davidoff-escurio-robusto-cigar?variant=45616436314369,ready to check
Davidoff,Davidoff Nicaragua Robusto,EU,egm,£20.99,https://egmcigars.com/en-gb/products/davidoff-nicaragua-robusto-cigar?variant=45616435593473,ready to check
Davidoff,Davidoff Nicaragua Toro,EU,egm,24.99,https://egmcigars.com/en-gb/products/davidoff-nicaragua-toro-cigar?variant=45616435986689,ready to check
Davidoff,Davidoff Signature 2000,EU,egm,£15.80,https://egmcigars.com/en-gb/products/davidoff-signature-2000-cigar?variant=42391275372801,ready to check
Davidoff,Davidoff Signature 6000,EU,egm,560.99,https://egmcigars.com/en-gb/products/davidoff-signature-6000-cigar?_pos=1&_psq=Davidoff+Signature+6000&_ss=e&_v=1.0,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Churchill,EU,egm,£28.99,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-churchill-cigar?variant=44896674054401,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Robusto,EU,egm,26.99,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-robusto-cigar?_pos=1&_psq=Davidoff+Winston+Churchill+The+Late+Hour+Robusto&_ss=e&_v=1.0,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Toro,EU,egm,£29.99,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-toro-cigar?variant=43906165571841,ready to check
Davidoff,Davidoff Yamasa Robusto,EU,egm,£22.99,https://egmcigars.com/en-gb/products/davidoff-yamasa-robusto-cigar?variant=45616437297409,ready to check
H. Upmann,H. Upmann Magnum 46,EU,egm,28.99,https://egmcigars.com/en-gb/products/h-upmann-magnum-46-slb?variant=37400139071646,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure Especial,EU,egm,£24.99,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-especial-slb?variant=40066445770910,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 1,EU,egm,£22.99,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-no-1-slb?variant=36945318707358,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 2,EU,egm,23.99,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-no-2-slb?variant=9008394633263,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de Rio Seco,EU,egm,£34.99,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-le-hoyo-de-rio-seco-cigar-box-of-25?variant=39533537656990,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de San Juan,EU,egm,£32.99,https://egmcigars.com/en-gb/products/le-hoyo-de-san-juan-slb?variant=37337411682462,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo du Depute,EU,egm,£10.99,https://egmcigars.com/en-gb/products/le-hoyo-du-depute-slb?variant=40717945340062,ready to check
Juan Lopez,Juan Lopez Seleccion No. 2,EU,egm,22.99,https://egmcigars.com/en-gb/products/juan-lopez-seleccion-no-2-slb?variant=40248758829214,ready to check
Juan Lopez,Juan Lopez Seleccion No.1,EU,egm,£23.99,https://egmcigars.com/en-gb/products/juan-lopez-seleccion-no-1-slb?variant=36481237385374,ready to check
Montecristo,Montecristo Double Edmundo,EU,egm,£34.99,https://egmcigars.com/en-gb/products/montecristo-double-edmundo?variant=9075075907631,ready to check
Montecristo,Montecristo Joyitas,EU,egm,£9.99,https://egmcigars.com/en-gb/products/montecristo-joyitas?variant=42502492619009,ready to check
Montecristo,Montecristo Media Corona,EU,egm,£10.99,https://egmcigars.com/en-gb/products/montecristo-medias-coronas?variant=43327480725761,ready to check
Montecristo,Montecristo No. 1,EU,egm,£28.99,https://egmcigars.com/en-gb/products/montecristo-no-1?variant=37329711333534,ready to check
Montecristo,Montecristo No. 2,EU,egm,31.99,https://egmcigars.com/en-gb/products/montecristo-no-2?variant=9008363700271,ready to check
Montecristo,Montecristo No. 3,EU,egm,£23.99,https://egmcigars.com/en-gb/products/montecristo-no-3?variant=9075175522351,ready to check
Montecristo,Montecristo No. 4,EU,egm,£15.99,https://egmcigars.com/en-gb/products/montecristo-no-4?variant=9008384770095,ready to check
Montecristo,Montecristo No. 5,EU,egm,21.99,https://egmcigars.com/en-gb/products/montecristo-no-5?variant=9075206586415,ready to check
Montecristo,Montecristo Open Eagle,EU,egm,£31.99,https://egmcigars.com/en-gb/products/montecristo-open-eagle?variant=40066410152094,ready to check
Montecristo,Montecristo Open Master,EU,egm,£33.99,https://egmcigars.com/en-gb/products/montecristo-open-master?_pos=1&_psq=Montecristo+Open+Master&_ss=e&_v=1.0,ready to check
Montecristo,Montecristo Open Regata,EU,egm,£19.99,https://egmcigars.com/en-gb/products/montecristo-open-regata?variant=11331656646703,ready to check
Montecristo,Montecristo Petit Edmundo,EU,egm,£16.99,https://egmcigars.com/en-gb/products/montecristo-petit-edmundo?variant=9075231522863,ready to check
Oliva,Oliva Serie G Robusto,EU,egm,£6.99,https://www.simplycigars.co.uk/oliva-serie-maduro-robusto-p-2114.html,ready to check
Oliva,Oliva Serie O Robusto,EU,egm,£17.99,https://egmcigars.com/en-gb/products/oliva-serie-o-robusto-5x50?_pos=3&_psq=Oliva+Serie+O+Robusto&_ss=e&_v=1.0,ready to check
Oliva,Oliva Serie V Double Robusto,EU,egm,£11.50,https://egmcigars.com/en-gb/products/oliva-serie-v-dbl-robusto-5x54?_pos=1&_psq=Oliva+Serie+V+Double+Robusto&_ss=e&_v=1.0,ready to check
Oliva,Oliva Serie V Lancero,EU,egm,£10.50,https://www.cgarsltd.co.uk/oliva-serie-liga-especial-lancero-cigar-single-p-56168.html?keywords=Oliva+Serie+V+Lancero,ready to check
Oliva,Oliva Serie V Melanio Figurado,EU,egm,210.99,https://egmcigars.com/en-gb/products/oliva-serie-v-melanio-figurado?_pos=1&_psq=Oliva+Serie+V+Melanio+Figurado&_ss=e&_v=1.0,ready to check
Oliva,Oliva Serie V Torpedo,EU,egm,£13.96,https://egmcigars.com/en-gb/products/oliva-serie-v-torpedo-6x56?_pos=3&_psq=Oliva+Serie+V+Torpedo&_ss=e&_v=1.0,ready to check
Partagas,Partagas Lusitanias,EU,egm,£55.99,https://egmcigars.com/en-gb/products/partagas-lusitanias?variant=36293965709470,ready to check
Partagas,Partagas Serie D No. 4,EU,egm,26.99,https://egmcigars.com/en-gb/products/partagas-serie-d-no-4?variant=9008379592751,ready to check
Partagas,Partagas Serie D No. 5,EU,egm,£25.99,https://egmcigars.com/en-gb/products/copy-of-partagas-serie-d-no-5?variant=9078224027695,ready to check
Partagas,Partagas Serie E No. 2,EU,egm,£34.99,https://egmcigars.com/en-gb/products/partagas-serie-e-no-2?_pos=1&_psq=Partagas+Serie+E+No.+2&_ss=e&_v=1.0,ready to check
Partagas,Partagas Shorts,EU,egm,£12.99,https://egmcigars.com/en-gb/products/partagas-shorts?variant=37328812900510,ready to check
Plasencia,Plasencia Alma Fuerte Generacion V,EU,egm,21.99,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-generacion-v-cigar?variant=43665364287745,ready to check
Plasencia,Plasencia Alma Fuerte Sixto II,EU,egm,21.99,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-sixto-ii-cigar?variant=43665093132545,ready to check
