brand,cigar,market,retailer,stored_price,url,status
Plasencia,Plasencia Alma del Campo Sendero,EU,egm,16.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-sendero-cigar?variant=43665431920897,ready to check
Plasencia,Plasencia Alma del Campo Tribu,EU,egm,£14.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-tribu-cigar?variant=43665415995649,ready to check
Plasencia,Plasencia Alma del Cielo Amanecer Hexagono,EU,egm,24.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-cielo-amanecer?variant=46361292144897,ready to check
Plasencia,Plasencia Cosecha 151 La Tradicion,EU,egm,15.99,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-la-tradicion-cigar?variant=44626589450497,ready to check
Plasencia,Plasencia Reserva Original Corona,EU,egm,9.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-corona-cigar?variant=43667146473729,ready to check
Plasencia,Plasencia Reserva Original Robustos,EU,egm,£8.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-robusto-cigar?variant=43666987778305,ready to check
Plasencia,Plasencia Sixto II Hexagon,EU,egm,£20.99,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-sixto-ii-cigar?variant=43665093132545,ready to check
Punch,Punch Double Coronas,EU,egm,£51.99,https://egmcigars.com/en-gb/products/punch-doble-coronas?variant=34071707517066,ready to check
Punch,Punch Punch,EU,egm,27.99,https://egmcigars.com/en-gb/products/punch-punch?variant=42735489220865,ready to check
Punch,Punch Short de Punch,EU,egm,£27.99,https://egmcigars.com/en-gb/products/punch-short-de-punch?variant=42747802648833,ready to check
Quai d'Orsay,Quai d'Orsay No. 50,EU,egm,£19.99,https://egmcigars.com/en-gb/products/quai-dorsay-no-50-box-of-10-cigars?variant=42089474588929,ready to check
Romeo,Romeo y Julieta Belicosos,EU,egm,£28.99,https://egmcigars.com/en-gb/products/romeo-y-julieta-belicosos?variant=36639980257438,ready to check
Romeo y Julieta,Romeo y Julieta Petit Churchills,EU,egm,£20.99,https://egmcigars.com/en-gb/products/romeo-y-julieta-petit-churchills?variant=9078284648495,ready to check
Romeo y Julieta,Romeo y Julieta Short Churchills,EU,egm,£27.99,https://egmcigars.com/en-gb/products/romeo-y-julieta-short-churchill?variant=39445166981278,ready to check
Romeo y Julieta,Romeo y Julieta Wide Churchills,EU,egm,30.99,https://egmcigars.com/en-gb/products/romeo-y-julieta-wide-churchill?variant=9008371957807,ready to check
San Cristobal,San Cristobal La Punta,EU,egm,£20.99,https://egmcigars.com/en-gb/products/san-cristobal-de-la-habana-la-punta?variant=42420433977601,ready to check
Vegas Robaina,Vegas Robaina Unicos,EU,egm,£31.99,https://egmcigars.com/en-gb/products/vegas-robaina-unicos?variant=42827196203265,ready to check
Zino,Zino Nicaragua Robusto,EU,egm,£7.99,https://egmcigars.com/en-gb/products/zino-nicaragua-robusto-cigars?variant=45625280889089,ready to check
Zino,Zino Nicaragua Toro,EU,egm,£7.99,https://egmcigars.com/en-gb/products/zino-nicaragua-toro-cigars?variant=45625281118465,ready to check
Arturo Fuente,Arturo Fuente Don Carlos No. 2,UK,havanahouse,£38.99,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-no-2-cigar-single/,ready to check
Arturo Fuente,Arturo Fuente Don Carlos Robusto,UK,havanahouse,£32.66,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-robusto-cigar-single/,ready to check
Arturo Fuente,Arturo Fuente Hemingway Short Story,UK,havanahouse,£19,https://www.havanahouse.co.uk/product/arturo-fuente-hemingway-short-story-cigar-single/,ready to check
Bolivar,Bolivar Belicosos Finos,UK,havanahouse,£38.70,https://www.havanahouse.co.uk/product/bolivar-belicosos-finos-cigar-single/,ready to check
Cohiba,Cohiba Esplendidos,UK,havanahouse,£137,https://www.havanahouse.co.uk/product/cohiba-esplendidos-cigar-single/,ready to check
Cohiba,Cohiba Panetelas,UK,havanahouse,£30.20,https://www.havanahouse.co.uk/product/cohiba-panetelas-cigar-single/,ready to check
Cohiba,Cohiba Robusto,UK,havanahouse,£80,https://www.havanahouse.co.uk/product/cohiba-robusto-cigar-single/,ready to check
Cohiba,Cohiba Siglo I,UK,havanahouse,£35,https://www.havanahouse.co.uk/product/cohiba-siglo-i-cigar-single/,ready to check
Cohiba,Cohiba Siglo II,UK,havanahouse,£35.00,https://www.havanahouse.co.uk/product/cohiba-siglo-ii-cigar-single/,ready to check
Cohiba,Cohiba Siglo III,UK,havanahouse,£60,https://www.havanahouse.co.uk/product/cohiba-siglo-iii-cigar-single/,ready to check
Cohiba,Cohiba Siglo IV,UK,havanahouse,£68,https://www.havanahouse.co.uk/product/cohiba-siglo-iv-cigar-single/,ready to check
Cohiba,Cohiba Siglo V,UK,havanahouse,£90,https://www.havanahouse.co.uk/product/cohiba-siglo-v-cigar-single/,ready to check
Cohiba,Cohiba Siglo VI,UK,havanahouse,£130,https://www.havanahouse.co.uk/product/cohiba-siglo-vi-cigar-single/,ready to check
Davidoff,Davidoff Escurio Robusto,UK,havanahouse,£38.86,https://www.havanahouse.co.uk/product/davidoff-escurio-robusto-cigar-single/,ready to check
Davidoff,Davidoff Nicaragua Robusto,UK,havanahouse,£36.01,https://www.havanahouse.co.uk/product/davidoff-nicaragua-robusto-cigar-single/,ready to check
Davidoff,Davidoff Nicaragua Toro,UK,havanahouse,£44.56,https://www.havanahouse.co.uk/product/davidoff-nicaragua-toro-cigar-single/,ready to check
Davidoff,Davidoff Signature 2000,UK,havanahouse,£32.95,https://www.havanahouse.co.uk/product/davidoff-2000-cigar-signature-range-single/,ready to check
Davidoff,Davidoff Signature 6000,UK,havanahouse,£34.96,https://www.havanahouse.co.uk/product/davidoff-signature-6000-robusto-cigar-single/,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Churchill,UK,havanahouse,£54.88,https://www.havanahouse.co.uk/product/davidoff-winston-churchill-late-hour-churchill-cigar-single/,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Robusto,UK,havanahouse,£49.73,https://www.havanahouse.co.uk/product/davidoff-winston-churchill-late-hour-robusto-cigar-single/,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Toro,UK,havanahouse,£61.96,https://www.havanahouse.co.uk/product/davidoff-winston-churchill-the-late-hour-toro-cigar-single/,ready to check
Davidoff,Davidoff Yamasa Robusto,UK,havanahouse,£41.95,https://www.havanahouse.co.uk/product/davidoff-yamasa-robusto-cigar-single/,ready to check
Foundation,Foundation Olmec Claro Robusto,UK,havanahouse,£22.96,https://www.havanahouse.co.uk/product/foundation-olmec-claro-robusto-cigar-single/,ready to check
H. Upmann,H. Upmann Magnum 46,UK,havanahouse,£36.80,https://www.havanahouse.co.uk/product/h-upmann-magnum-46-cigar-single/,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure Especial,UK,havanahouse,£42.90,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-epicure-especial-cigar-single/,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 1,UK,havanahouse,£37.40,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-epicure-no-1-cigar-single/,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 2,UK,havanahouse,£36.80,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-epicure-no-2-cigar-single/,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de Rio Seco,UK,havanahouse,£53.50,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-le-hoyo-de-rio-seco-cigar/,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de San Juan,UK,havanahouse,£49.10,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-serie-le-hoyo-de-san-juan-cigar-single/,ready to check
Juan Lopez,Juan Lopez Seleccion No. 2,UK,havanahouse,£31.70,https://www.havanahouse.co.uk/product/juan-lopez-seleccion-no-2-cigar-single/,ready to check
Juan Lopez,Juan Lopez Seleccion No.1,UK,havanahouse,£32.20,https://www.havanahouse.co.uk/product/juan-lopez-seleccion-no-1-cigar-single/,ready to check
Montecristo,Montecristo Double Edmundo,UK,havanahouse,£50.60,https://www.havanahouse.co.uk/product/montecristo-double-edmundo-cigar-single/,ready to check
Montecristo,Montecristo Joyitas,UK,havanahouse,£15.30,https://www.havanahouse.co.uk/product/montecristo-joyitas-cigar-single/,ready to check
Montecristo,Montecristo Media Corona,UK,havanahouse,£20.70,https://www.havanahouse.co.uk/product/montecristo-media-corona-cigar-single/,ready to check
Montecristo,Montecristo No. 1,UK,havanahouse,£37.70,https://www.havanahouse.co.uk/product/montecristo-no-1-cigar-single/,ready to check
Montecristo,Montecristo No. 2,UK,havanahouse,£38.75,https://www.havanahouse.co.uk/product/montecristo-no-2-cigar-single/,ready to check
Montecristo,Montecristo No. 3,UK,havanahouse,£32.50,https://www.havanahouse.co.uk/product/montecristo-no-3-cigar-single/,ready to check
Montecristo,Montecristo No. 4,UK,havanahouse,£26.40,https://www.havanahouse.co.uk/product/montecristo-no-4-cigar-single/,ready to check
Montecristo,Montecristo No. 5,UK,havanahouse,£20.70,https://www.havanahouse.co.uk/product/montecristo-no-5-cigar-single/,ready to check
Montecristo,Montecristo Open Eagle,UK,havanahouse,£48.90,https://www.havanahouse.co.uk/product/montecristo-open-eagle-cigar-single/,ready to check
Montecristo,Montecristo Open Master,UK,havanahouse,£37.50,https://www.havanahouse.co.uk/product/montecristo-open-master-cigar-single/,ready to check
Montecristo,Montecristo Open Regata,UK,havanahouse,£30.20,https://www.havanahouse.co.uk/product/montecristo-open-regata-cigar-single/,ready to check
Montecristo,Montecristo Petit Edmundo,UK,havanahouse,£35.90,https://www.havanahouse.co.uk/product/montecristo-petit-edmundo-cigar-single/,ready to check
Partagas,Partagas Serie D No. 4,UK,havanahouse,£38.50,https://www.havanahouse.co.uk/product/partagas-series-d-no-4-cigar-single/,ready to check
Partagas,Partagas Serie D No. 5,UK,havanahouse,£35.50,https://www.havanahouse.co.uk/product/partagas-series-d-no-5-cigar-single/,ready to check
Partagas,Partagas Serie E No. 2,UK,havanahouse,£55.30,https://www.havanahouse.co.uk/product/partagas-series-e-no-2-cigar-single/,ready to check
Partagas,Partagas Shorts,UK,havanahouse,£22.70,https://www.havanahouse.co.uk/product/partagas-shorts-cigar-single/,ready to check
Plasencia,Plasencia Alma Fuerte Colorado Claro Robustus II,UK,havanahouse,£25.96,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-colorado-claro-robustus-ii-cigar-single/,ready to check
Plasencia,Plasencia Alma Fuerte Generacion V,UK,havanahouse,£35,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-generacion-v-cigar-single/,ready to check
Plasencia,Plasencia Alma Fuerte Sixto II,UK,havanahouse,£35.20,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-sixto-ii-cigar-single/,ready to check
Plasencia,Plasencia Alma del Campo Tribu,UK,havanahouse,£21.90,https://www.havanahouse.co.uk/product/plasencia-alma-del-campo-tribu-robusto-cigar-single-2/,ready to check
Plasencia,Plasencia Alma del Cielo Amanecer Hexagono,UK,havanahouse,£36.95,https://www.havanahouse.co.uk/product/plasencia-alma-del-cielo-amanecer-sixty-cigar-single/,ready to check
Plasencia,Plasencia Alma del Fuego Candente,UK,havanahouse,£21.46,https://www.havanahouse.co.uk/product/plasencia-alma-del-fuego-candente-cigar-single/,ready to check
Plasencia,Plasencia Cosecha 151 La Tradicion,UK,havanahouse,£31.96,https://www.havanahouse.co.uk/product/plasencia-cosecha-151-la-tradicion-toro-cigar-single/,ready to check
Plasencia,Plasencia Reserva Original Corona,UK,havanahouse,£13.99,https://www.havanahouse.co.uk/product/plasencia-reserva-original-corona-corta-cigar-single/,ready to check
Plasencia,Plasencia Reserva Original Robustos,UK,havanahouse,£17.60,https://www.havanahouse.co.uk/product/plasencia-reserva-original-robusto-cigar-single-2/,ready to check
Plasencia,Plasencia Sixto II Hexagon,UK,havanahouse,£35.20,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-sixto-ii-cigar-single/,ready to check
Punch,Punch Double Coronas,UK,havanahouse,£68,https://www.havanahouse.co.uk/product/punch-double-coronas-cigar-single/,ready to check
Punch,Punch Punch,UK,havanahouse,£36,https://www.havanahouse.co.uk/product/punch-punch-cigar-single/,ready to check
Punch,Punch Short de Punch,UK,havanahouse,£36,https://www.havanahouse.co.uk/product/punch-short-de-punch-cigar-single/,ready to check
Quai d'Orsay,Quai d'Orsay No. 50,UK,havanahouse,£27.40,https://www.havanahouse.co.uk/product/quai-dorsay-no-50-cigar-single/,ready to check
Rocky Patel,Rocky Patel Sixty Robusto,UK,havanahouse,£30,https://www.havanahouse.co.uk/product/sixty-by-rocky-patel-robusto-cigar-single-2/,ready to check
Romeo,Romeo y Julieta Belicosos,UK,havanahouse,£40,https://www.havanahouse.co.uk/product/romeo-y-julieta-belicosos-cigar-single/,ready to check
Romeo y Julieta,Romeo y Julieta Petit Churchills,UK,havanahouse,£33.10,https://www.havanahouse.co.uk/product/romeo-y-julieta-petit-churchill-cigar-single/,ready to check
Romeo y Julieta,Romeo y Julieta Short Churchills,UK,havanahouse,£38.20,https://www.havanahouse.co.uk/product/romeo-y-julieta-short-churchill-cigar-single/,ready to check
Romeo y Julieta,Romeo y Julieta Wide Churchills,UK,havanahouse,£46.80,https://www.havanahouse.co.uk/product/romeo-y-julieta-wide-churchill-cigar-single/,ready to check
San Cristobal,San Cristobal La Punta,UK,havanahouse,£38.10,https://www.havanahouse.co.uk/product/san-cristobal-la-punta-cigar-single/,ready to check
Vegas Robaina,Vegas Robaina Unicos,UK,havanahouse,£42.30,https://www.havanahouse.co.uk/product/vegas-robaina-unicos-cigar-single/,ready to check
Zino,Zino Nicaragua Robusto,UK,havanahouse,£22.45,https://www.havanahouse.co.uk/product/zino-nicaragua-robusto-cigar-single/,ready to check
Zino,Zino Nicaragua Toro,UK,havanahouse,£22.80,https://www.havanahouse.co.uk/product/zino-nicaraguan-toro-cigar-single/,ready to check
Bolivar,Bolivar Belicosos Finos,UK,simplycigars,£41.48,https://www.simplycigars.co.uk/bolivar-belicosos-finos-single-cigar-p-1773.html,ready to check
Bolivar,Bolivar Petit Coronas,UK,simplycigars,£26.94,https://www.simplycigars.co.uk/bolivar-petit-coronas-single-cigar-p-1783.html,ready to check
Cohiba,Cohiba Esplendidos,UK,simplycigars,£125.02,https://www.simplycigars.co.uk/cohiba-esplendidos-cigar-single-cigar-p-446.html,ready to check
Cohiba,Cohiba Panetelas,UK,simplycigars,£30.31,https://www.simplycigars.co.uk/cohiba-panetelas-single-cigar-p-448.html,ready to check
Cohiba,Cohiba Robusto,UK,simplycigars,£76.90,https://www.simplycigars.co.uk/cohiba-robusto-single-cigar-p-449.html,ready to check
Cohiba,Cohiba Siglo I,UK,simplycigars,£68.66,https://www.simplycigars.co.uk/cohiba-medio-siglo-cigar-single-cigar-p-2136.html,ready to check
Cohiba,Cohiba Siglo II,UK,simplycigars,£43.97,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-452.html,ready to check
Cohiba,Cohiba Siglo IV,UK,simplycigars,£91.09,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-454.html,ready to check
Cohiba,Cohiba Siglo V,UK,simplycigars,£89.32,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-455.html,ready to check
Cohiba,Cohiba Siglo VI,UK,simplycigars,£100.85,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-456.html,ready to check
Davidoff,Davidoff Escurio Robusto,UK,simplycigars,£38.92,https://www.simplycigars.co.uk/davidoff-escurio-robusto-cello-cigar-p-2859.html,ready to check
Davidoff,Davidoff Nicaragua Robusto,UK,simplycigars,£37.94,https://www.simplycigars.co.uk/davidoff-nicaraguan-experience-robusto-cello-single-cigars-p-2463.html,ready to check
Davidoff,Davidoff Nicaragua Toro,UK,simplycigars,£43.85,https://www.simplycigars.co.uk/davidoff-nicaragua-box-pressed-toro-single-cigar-p-4255.html,ready to check
Davidoff,Davidoff Signature 2000,UK,simplycigars,£30.01,https://www.simplycigars.co.uk/davidoff-signature-2000-cigar-p-3889.html,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Churchill,UK,simplycigars,£57.77,https://www.simplycigars.co.uk/davidoff-winston-churchill-the-late-hour-churchill-cigar-single-p-3756.html,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Robusto,UK,simplycigars,£52.37,https://www.simplycigars.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-3753.html,ready to check
H. Upmann,H. Upmann Magnum 46,UK,simplycigars,£39.23,https://www.simplycigars.co.uk/upmann-magnum-single-cigar-p-1736.html,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure Especial,UK,simplycigars,£45.79,https://www.simplycigars.co.uk/hoyo-monterrey-epicure-especial-single-cigar-p-2785.html,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 1,UK,simplycigars,£38.72,https://www.simplycigars.co.uk/hoyo-monterrey-epicure-no1-single-cigar-p-1718.html,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 2,UK,simplycigars,£39.23,https://www.simplycigars.co.uk/hoyo-monterrey-epicure-no2-single-cigar-p-1720.html,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de San Juan,UK,simplycigars,£54.44,https://www.simplycigars.co.uk/hoyo-monterrey-hoyo-san-juan-single-cigar-p-2589.html,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo du Depute,UK,simplycigars,£23.03,https://www.simplycigars.co.uk/hoyo-monterrey-depute-single-cigar-p-1711.html,ready to check
Juan Lopez,Juan Lopez Seleccion No. 2,UK,simplycigars,£33.90,https://www.simplycigars.co.uk/juan-lopez-seleccion-single-cigar-p-1629.html,ready to check
Juan Lopez,Juan Lopez Seleccion No.1,UK,simplycigars,£34.38,https://www.simplycigars.co.uk/juan-lopez-seleccion-single-cigar-p-991.html,ready to check
La Flor Dominicana,La Flor Dominicana Double Ligero Chiselito,UK,simplycigars,£22.34,https://www.simplycigars.co.uk/flor-dominicana-double-ligero-chiselito-single-cigar-p-4183.html,ready to check
Montecristo,Montecristo Double Edmundo,UK,simplycigars,£56.88,https://www.simplycigars.co.uk/montecristo-double-edmundo-single-cigar-p-2166.html,ready to check
Montecristo,Montecristo Joyitas,UK,simplycigars,£17.71,https://www.simplycigars.co.uk/montecristo-joyitas-single-cigar-p-514.html,ready to check
Montecristo,Montecristo Media Corona,UK,simplycigars,£22.15,https://www.simplycigars.co.uk/montecristo-media-corona-single-cigar-p-2733.html,ready to check
Montecristo,Montecristo No. 1,UK,simplycigars,£44.22,https://www.simplycigars.co.uk/montecristo-no1-single-cigar-p-1588.html,ready to check
Montecristo,Montecristo No. 2,UK,simplycigars,£50.44,https://www.simplycigars.co.uk/montecristo-no2-single-cigar-p-1541.html,ready to check
Montecristo,Montecristo No. 3,UK,simplycigars,£33.48,https://www.simplycigars.co.uk/montecristo-no3-cigar-single-cigar-p-517.html,ready to check
Montecristo,Montecristo No. 4,UK,simplycigars,£28.36,https://www.simplycigars.co.uk/montecristo-no4-cigar-single-cigar-p-518.html,ready to check
Montecristo,Montecristo No. 5,UK,simplycigars,£22,https://www.simplycigars.co.uk/montecristo-no5-cigar-single-cigar-p-519.html,ready to check
Montecristo,Montecristo Open Eagle,UK,simplycigars,£54.18,https://www.simplycigars.co.uk/montecristo-open-eagle-cigar-single-cigar-p-1953.html,ready to check
Montecristo,Montecristo Open Master,UK,simplycigars,£40.01,https://www.simplycigars.co.uk/montecristo-open-master-cigar-single-cigar-p-1958.html,ready to check
Montecristo,Montecristo Petit Edmundo,UK,simplycigars,£38.56,https://www.simplycigars.co.uk/montecristo-petit-edmundo-cigar-single-cigar-p-1032.html,ready to check
My Father,My Father Le Bijou 1922 Torpedo Box Press,UK,simplycigars,£49.78,https://www.simplycigars.co.uk/father-bijou-1922-torpedo-box-pressed-single-cigar-p-3911.html,ready to check
Oliva,Oliva Serie G Robusto,UK,simplycigars,£21.56,https://www.simplycigars.co.uk/oliva-serie-maduro-robusto-p-2114.html,ready to check
Oliva,Oliva Serie O Robusto,UK,simplycigars,£24.19,https://www.simplycigars.co.uk/oliva-serie-robusto-cigar-single-p-2121.html,ready to check
Oliva,Oliva Serie V Double Robusto,UK,simplycigars,£29.30,https://www.simplycigars.co.uk/oliva-serie-double-robusto-cigar-single-p-4328.html,ready to check
Oliva,Oliva Serie V Robusto,UK,simplycigars,£35.75,https://www.simplycigars.co.uk/oliva-serie-melanio-gran-reserva-robusto-cigar-single-p-4325.html,ready to check
Partagas,Partagas Lusitanias,UK,simplycigars,£61.87,https://www.simplycigars.co.uk/partagas-lusitanias-single-cigar-p-1750.html,ready to check
Partagas,Partagas Serie D No. 4,UK,simplycigars,£41.02,https://www.simplycigars.co.uk/advanced_search_result.php?keywords=Partagas+Serie+D+No.+4&search=GO&ajax_prod_id=1541,ready to check
Partagas,Partagas Serie D No. 5,UK,simplycigars,£38.02,https://www.simplycigars.co.uk/partagas-serie-no5-single-cigar-p-1885.html,ready to check
Partagas,Partagas Serie E No. 2,UK,simplycigars,£56.34,https://www.simplycigars.co.uk/partagas-serie-single-cigar-p-2309.html,ready to check
Partagas,Partagas Shorts,UK,simplycigars,£24.24,https://www.simplycigars.co.uk/partagas-shorts-single-cigar-p-1760.html,ready to check
Plasencia,Plasencia Alma Fuerte Generacion V,UK,simplycigars,£36.28,https://www.simplycigars.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-3948.html,ready to check
Plasencia,Plasencia Alma Fuerte Sixto II,UK,simplycigars,£40.28,https://www.simplycigars.co.uk/plasencia-alma-fuerte-sixto-single-cigar-p-5034.html,ready to check
Plasencia,Plasencia Alma del Campo Tribu,UK,simplycigars,£23.63,https://www.simplycigars.co.uk/plasencia-alma-del-campo-tribu-single-cigar-p-2315.html,ready to check
Plasencia,Plasencia Alma del Fuego Candente,UK,simplycigars,£24.13,https://www.simplycigars.co.uk/plasencia-alma-del-fuego-candente-single-cigar-p-3944.html,ready to check
Plasencia,Plasencia Reserva Original Robustos,UK,simplycigars,£20.46,https://www.simplycigars.co.uk/plasencia-reserva-original-robusto-single-cigar-p-4094.html,ready to check
Plasencia,Plasencia Sixto II Hexagon,UK,simplycigars,£40.28,https://www.simplycigars.co.uk/plasencia-alma-fuerte-sixto-single-cigar-p-5034.html,ready to check
Punch,Punch Double Coronas,UK,simplycigars,£59.09,https://www.simplycigars.co.uk/punch-double-coronas-single-cigar-p-1797.html,ready to check
Punch,Punch Punch,UK,simplycigars,£38.46,https://www.simplycigars.co.uk/punch-punch-single-cigar-p-1805.html,ready to check
Punch,Punch Short de Punch,UK,simplycigars,£38.48,https://www.simplycigars.co.uk/punch-short-punch-single-cigar-p-3476.html,ready to check
Quai d'Orsay,Quai d'Orsay No. 50,UK,simplycigars,£29.27,https://www.simplycigars.co.uk/quai-orsay-single-cigar-p-3365.html,ready to check
Romeo,Romeo y Julieta Belicosos,UK,simplycigars,£42.79,https://www.simplycigars.co.uk/romeo-julieta-belicosos-single-cigar-p-4434.html,ready to check
Romeo y Julieta,Romeo y Julieta Petit Churchills,UK,simplycigars,£34.03,https://www.simplycigars.co.uk/romeo-julieta-petit-churchill-single-cigar-p-3797.html,ready to check
Romeo y Julieta,Romeo y Julieta Short Churchills,UK,simplycigars,£41.02,https://www.simplycigars.co.uk/romeo-julieta-short-churchill-p-1584.html,ready to check
Romeo y Julieta,Romeo y Julieta Wide Churchills,UK,simplycigars,£49.86,https://www.simplycigars.co.uk/romeo-julieta-wide-churchill-single-cigar-p-2182.html,ready to check
San Cristobal,San Cristobal La Punta,UK,simplycigars,£40.91,https://www.simplycigars.co.uk/san-cristobal-punta-single-cigar-p-1612.html,ready to check
Vegas Robaina,Vegas Robaina Unicos,UK,simplycigars,£45.22,https://www.simplycigars.co.uk/vegas-robaina-unicos-single-cigar-p-1608.html,ready to check
Zino,Zino Nicaragua Robusto,UK,simplycigars,£20.69,https://www.simplycigars.co.uk/zino-nicaragua-robusto-cigar-single-cigar-p-5044.html,ready to check
Zino,Zino Nicaragua Toro,UK,simplycigars,£21.79,https://www.simplycigars.co.uk/zino-nicaragua-toro-cigar-single-cigar-p-5049.html,ready to check
Quai d'Orsay,Quai d'Orsay No. 50,UK,cgars,,,"missing price, missing url"
AJ Fernandez,AJ Fernandez San Lotano Requiem Robusto,EU,egm,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Chateau Fuente,EU,egm,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Don Carlos No. 2,EU,egm,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Don Carlos Robusto,EU,egm,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Gran Reserva Robusto,EU,egm,,,"missing price, missing url"
Cohiba,Cohiba Robustos,EU,egm,,,"missing price, missing url"
Davidoff,Davidoff Millennium Robusto,EU,egm,,,"missing price, missing url"
Davidoff,Davidoff Signature No.2,EU,egm,,,"missing price, missing url"
Drew Estate,Drew Estate Liga Privada No. 9 Robusto,EU,egm,,,"missing price, missing url"
Drew Estate,Drew Estate Liga Privada No. 9 Toro,EU,egm,,,"missing price, missing url"
Foundation,Foundation Olmec Claro Robusto,EU,egm,,,"missing price, missing url"
La Flor Dominicana,La Flor Dominicana Double Ligero Chiselito,EU,egm,,,"missing price, missing url"
My Father,My Father Flor de Las Antillas Robusto,EU,egm,,,"missing price, missing url"
My Father,My Father La Opulencia Robusto,EU,egm,,,"missing price, missing url"
My Father,My Father Le Bijou 1922 Torpedo Box Press,EU,egm,,,"missing price, missing url"
Oliva,Oliva Serie V Melanio Robusto,EU,egm,,,"missing price, missing url"
Oliva,Oliva Serie V Robusto,EU,egm,,,"missing price, missing url"
Padron,Padron 3000 Natural,EU,egm,,,"missing price, missing url"
Padron,Padron 4000 Natural,EU,egm,,,"missing price, missing url"
Perdomo,Perdomo 10th Anniversary Champagne Robusto,EU,egm,,,"missing price, missing url"
Perdomo,Perdomo 20th Anniversary Maduro Robusto,EU,egm,,,"missing price, missing url"
Perdomo,Perdomo 20th Anniversary Sun Grown Robusto,EU,egm,,,"missing price, missing url"
Plasencia,Plasencia Alma Fuerte Colorado Claro Robustus II,EU,egm,,,"missing price, missing url"
Plasencia,Plasencia Alma del Campo Robusto,EU,egm,,,"missing price, missing url"
Plasencia,Plasencia Alma del Fuego Candente,EU,egm,,,"missing price, missing url"
Plasencia,Plasencia Alma del Fuego Flama,EU,egm,,,"missing price, missing url"
Rocky Patel,Rocky Patel Decade Robusto,EU,egm,,,"missing price, missing url"
Rocky Patel,Rocky Patel Sixty Robusto,EU,egm,,,"missing price, missing url"
Rocky Patel,Rocky Patel Sun Grown Robusto,EU,egm,,,"missing price, missing url"
AJ Fernandez,AJ Fernandez San Lotano Requiem Robusto,UK,havanahouse,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Chateau Fuente,UK,havanahouse,,,"missing price, missing url"
Arturo Fuente,Arturo Fuente Gran Reserva Robusto,UK,havanahouse,,,"missing price, missing url"
Bolivar,Bolivar Petit Coronas,UK,havanahouse,,,"missing price, missing url"
Cohiba,Cohiba Robustos,UK,havanahouse,,,"missing price, missing url"
Davidoff,Davidoff Millennium Robusto,UK,havanahouse,,,"missing price, missing url"
Davidoff,Davidoff Signature No.2,UK,havanahouse,,,"missing price, missing url"
Drew Estate,Drew Estate Liga Privada No. 9 Robusto,UK,havanahouse,,,"missing price, missing url"
Drew Estate,Drew Estate Liga Privada No. 9 Toro,UK,havanahouse,,,"missing price, missing url"
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo du Depute,UK,havanahouse,,,"missing price, missing url"
