cigar,retailer,price,url
Davidoff Winston Churchill The Late Hour Robusto,cgars,47.99,https://www.cgarsltd.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-25559.html?keywords=Davidoff+Winston+Churchill+The+Late+Hour+Robusto
Davidoff Winston Churchill The Late Hour Robusto,havanahouse,49.73,https://www.havanahouse.co.uk/product/davidoff-winston-churchill-late-hour-robusto-cigar-single/
Davidoff Winston Churchill The Late Hour Robusto,simplycigars,52.37,https://www.simplycigars.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-3753.html
Davidoff Winston Churchill The Late Hour Robusto,egm,26.99,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-robusto-cigar?_pos=1&_psq=Davidoff+Winston+Churchill+The+Late+Hour+Robusto&_ss=e&_v=1.0
Davidoff Winston Churchill The Late Hour Robusto,cigarworld,48,https://cigarworld.co.uk/products/davidoff-winston-churchill-the-late-hour-robusto-cigar-1-single?_pos=1&_psq=Davidoff+Winston+Churchill+The+Late+Hour+Robusto&_ss=e&_v=1.0
Cohiba Siglo II,cgars,41.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-429.html?keywords=Cohiba+Siglo+II
Cohiba Siglo II,havanahouse,42,https://www.havanahouse.co.uk/product/cohiba-siglo-ii-cigar-single/
Cohiba Siglo II,simplycigars,43.97,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-452.html
Cohiba Siglo II,egm,38.99,https://egmcigars.com/en-gb/products/cohiba-siglo-2-slb?variant=9061330223151
Cohiba Siglo II,cigarworld,40,https://cigarworld.co.uk/products/cohiba-siglo-ii-single?_pos=3&_psq=Cohiba+Siglo+II&_ss=e&_v=1.0
Arturo Fuente Don Carlos Robusto,cgars,33.99,https://www.cgarsltd.co.uk/arturo-fuente-don-carlos-robusto-cigar-single-p-10530.html?keywords=Arturo+Fuente+Don+Carlos+Robusto
Arturo Fuente Don Carlos Robusto,havanahouse,32.66,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-robusto-cigar-single/
Montecristo No. 2,cgars,46.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-506.html?keywords=Montecristo+No++2
Montecristo No. 2,havanahouse,46.50,https://www.havanahouse.co.uk/product/montecristo-no-2-cigar-single/
Montecristo No. 2,simplycigars,50.44,https://www.simplycigars.co.uk/montecristo-no2-single-cigar-p-1541.html
Montecristo No. 2,egm,31.99,https://egmcigars.com/en-gb/products/montecristo-no-2?variant=9008363700271
Montecristo No. 2,cigarworld,44.50,https://cigarworld.co.uk/products/montecristo-no-2-single?_pos=2&_sid=857f25437&_ss=r44.50
Partagas Serie D No. 4,cgars,38.49,https://www.cgarsltd.co.uk/partagas-serie-cigar-single-p-528.html?keywords=Partagas+Serie+D+No++4
Partagas Serie D No. 4,havanahouse,38.50,https://www.havanahouse.co.uk/product/partagas-series-d-no-4-cigar-single/
Partagas Serie D No. 4,simplycigars,41.02,https://www.simplycigars.co.uk/advanced_search_result.php?keywords=Partagas+Serie+D+No.+4&search=GO&ajax_prod_id=1541
Partagas Serie D No. 4,egm,26.99,https://egmcigars.com/en-gb/products/partagas-serie-d-no-4?variant=9008379592751
Partagas Serie D No. 4,cigarworld,37,https://cigarworld.co.uk/products/partagas-serie-d-no-4-single?_pos=1&_psq=Partagas+Serie+D+No.+4&_ss=e&_v=1.0
Romeo y Julieta Wide Churchills,cgars,46.79,https://www.cgarsltd.co.uk/romeo-julieta-wide-churchill-cigar-single-p-8998.html?keywords=Romeo+y+Julieta+Wide+Churchill
Romeo y Julieta Wide Churchills,havanahouse,46.80,https://www.havanahouse.co.uk/product/romeo-y-julieta-wide-churchill-cigar-single/
Romeo y Julieta Wide Churchills,simplycigars,49.86,https://www.simplycigars.co.uk/romeo-julieta-wide-churchill-single-cigar-p-2182.html
Romeo y Julieta Wide Churchills,egm,30.99,https://egmcigars.com/en-gb/products/romeo-y-julieta-wide-churchill?variant=9008371957807
Romeo y Julieta Wide Churchills,cigarworld,40.55,https://cigarworld.co.uk/products/romeo-y-julieta-wide-churchill-single?_pos=1&_psq=Romeo+y+Julieta+Wide+Churchill&_ss=e&_v=1.0
Oliva Serie V Melanio Figurado,cgars,44.99,https://www.cgarsltd.co.uk/oliva-serie-melanio-gran-reserva-figurado-cigar-single-p-16152.html
Oliva Serie V Melanio Figurado,egm,210.99,https://egmcigars.com/en-gb/products/oliva-serie-v-melanio-figurado?_pos=1&_psq=Oliva+Serie+V+Melanio+Figurado&_ss=e&_v=1.0
Oliva Serie V Melanio Figurado,cigarworld,38,https://cigarworld.co.uk/products/oliva-serie-v-melanio-gran-reserva-figurado-cigar-1-single?_pos=1&_psq=Oliva+Serie+V+Melanio+Figurado&_ss=e&_v=1.0
My Father Le Bijou 1922 Torpedo Box Press,cgars,46.99,https://www.cgarsltd.co.uk/father-bijou-1922-torpedo-box-pressed-cigar-single-p-28899.html
My Father Le Bijou 1922 Torpedo Box Press,simplycigars,49.78,https://www.simplycigars.co.uk/father-bijou-1922-torpedo-box-pressed-single-cigar-p-3911.html
Hoyo de Monterrey Epicure No. 2,cgars,38.99,https://www.cgarsltd.co.uk/hoyo-monterrey-epicure-cigar-single-p-476.html?keywords=Hoyo+de+Monterrey+Epicure+No++2
Hoyo de Monterrey Epicure No. 2,havanahouse,36.80,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-epicure-no-2-cigar-single/
Hoyo de Monterrey Epicure No. 2,simplycigars,39.23,https://www.simplycigars.co.uk/hoyo-monterrey-epicure-no2-single-cigar-p-1720.html
Hoyo de Monterrey Epicure No. 2,egm,23.99,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-no-2-slb?variant=9008394633263
Hoyo de Monterrey Epicure No. 2,cigarworld,35.50,https://cigarworld.co.uk/products/hoyo-de-monterrey-epicure-no-2-cigar-1-single?_pos=1&_sid=b641ad877&_ss=r
Bolivar Belicosos Finos,cgars,38.99,https://www.cgarsltd.co.uk/bolivar-belicosos-finos-cigar-single-p-408.html?keywords=Bolivar+Belicosos+Finos
Bolivar Belicosos Finos,havanahouse,38.70,https://www.havanahouse.co.uk/product/bolivar-belicosos-finos-cigar-single/
Bolivar Belicosos Finos,simplycigars,41.48,https://www.simplycigars.co.uk/bolivar-belicosos-finos-single-cigar-p-1773.html
Bolivar Belicosos Finos,egm,22.99,https://egmcigars.com/en-gb/products/bolivar-belicosos?variant=37316867555486
Bolivar Belicosos Finos,cigarworld,37,https://cigarworld.co.uk/products/bolivar-belicosos-finos-cigar-1-single?_pos=1&_psq=Bolivar+Belicosos+Finos&_ss=e&_v=1.0
Punch Punch,cgars,35.99,https://www.cgarsltd.co.uk/punch-punch-cigar-single-p-277.html?keywords=Punch+Punch
Punch Punch,havanahouse,36,https://www.havanahouse.co.uk/product/punch-punch-cigar-single/
Punch Punch,simplycigars,38.46,https://www.simplycigars.co.uk/punch-punch-single-cigar-p-1805.html
Punch Punch,egm,27.99,https://egmcigars.com/en-gb/products/punch-punch?variant=42735489220865
Punch Punch,cigarworld,34.50,https://cigarworld.co.uk/products/punch-punch-single?_pos=1&_psq=punch+punch&_ss=e&_v=1.0
Juan Lopez Seleccion No. 2,cgars,30.99,https://www.cgarsltd.co.uk/juan-lopez-seleccion-cigar-single-p-495.html?keywords=Juan+Lopez+Seleccion+No++2
Juan Lopez Seleccion No. 2,havanahouse,31.70,https://www.havanahouse.co.uk/product/juan-lopez-seleccion-no-2-cigar-single/
Juan Lopez Seleccion No. 2,simplycigars,33.90,https://www.simplycigars.co.uk/juan-lopez-seleccion-single-cigar-p-1629.html
Juan Lopez Seleccion No. 2,egm,22.99,https://egmcigars.com/en-gb/products/juan-lopez-seleccion-no-2-slb?variant=40248758829214
Juan Lopez Seleccion No. 2,cigarworld,31,https://cigarworld.co.uk/products/juan-lopez-seleccion-no-2-cigar-1-single?_pos=1&_psq=Juan+Lopez+Seleccion+No.+2&_ss=e&_v=1.0
Drew Estate Liga Privada No. 9 Robusto,cgars,42.99,https://www.cgarsltd.co.uk/drew-estate-liga-privada-robusto-cigar-single-p-26334.html?keywords=Drew+Estate+Liga+Privada+No++9+Robusto
Foundation Olmec Claro Robusto,cgars,25.49,https://www.cgarsltd.co.uk/foundation-olmec-claro-robusto-cigar-single-p-59784.html
Foundation Olmec Claro Robusto,havanahouse,22.96,https://www.havanahouse.co.uk/product/foundation-olmec-claro-robusto-cigar-single/
Arturo Fuente Don Carlos No. 2,cgars,43.49,https://www.cgarsltd.co.uk/arturo-fuente-don-carlos-cigar-single-p-10526.html
Arturo Fuente Don Carlos No. 2,havanahouse,38.99,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-no-2-cigar-single/
Davidoff Nicaragua Toro,cgars,44.49,https://www.cgarsltd.co.uk/davidoff-nicaragua-toro-cello-cigar-single-p-13647.html?keywords=Davidoff+Nicaragua+Toro
Davidoff Nicaragua Toro,havanahouse,44.56,https://www.havanahouse.co.uk/product/davidoff-nicaragua-toro-cigar-single/
Davidoff Nicaragua Toro,simplycigars,43.85,https://www.simplycigars.co.uk/davidoff-nicaragua-box-pressed-toro-single-cigar-p-4255.html
Davidoff Nicaragua Toro,egm,24.99,https://egmcigars.com/en-gb/products/davidoff-nicaragua-toro-cigar?variant=45616435986689
Drew Estate Liga Privada T52 Robusto,cgars,32.99,https://www.cgarsltd.co.uk/drew-estate-liga-privada-t52-robusto-cigar-single-p-26135.html
Oliva Serie V Robusto,cgars,31.99,https://www.cgarsltd.co.uk/oliva-serie-melanio-gran-reserva-robusto-cigar-single-p-13643.html?keywords=Melanio+Gran+Reserva+Robusto
Oliva Serie V Robusto,simplycigars,35.75,https://www.simplycigars.co.uk/oliva-serie-melanio-gran-reserva-robusto-cigar-single-p-4325.html
Plasencia Cosecha 151 San Diego,egm,13.99,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-san-diego-cigar?variant=44626525782273
Plasencia Cosecha 151 La Tradicion,cgars,27.99,https://www.cgarsltd.co.uk/plasencia-cosecha-151-tradicion-toro-cigar-single-p-62378.html
Plasencia Cosecha 151 La Tradicion,havanahouse,31.96,https://www.havanahouse.co.uk/product/plasencia-cosecha-151-la-tradicion-toro-cigar-single/
Plasencia Cosecha 151 La Tradicion,egm,15.99,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-la-tradicion-cigar?variant=44626589450497
Plasencia Reserva Original Nesticos,egm,5.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-nesticos-cigar?variant=43666939838721
Plasencia Reserva Original Corona,cgars,15.99,https://www.cgarsltd.co.uk/plasencia-reserva-original-corona-corta-cigar-single-p-64026.html?keywords=Plasencia+Reserva+Original
Plasencia Reserva Original Corona,havanahouse,13.99,https://www.havanahouse.co.uk/product/plasencia-reserva-original-corona-corta-cigar-single/
Plasencia Reserva Original Corona,egm,9.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-corona-cigar?variant=43667146473729
Plasencia Alma Fuerte Colorado Claro Robustus II,cgars,32.99,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-colorado-claro-robustus-cigar-single-p-58034.html
Plasencia Alma Fuerte Colorado Claro Robustus II,havanahouse,25.96,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-colorado-claro-robustus-ii-cigar-single/
Plasencia Cosecha 149 Santa Fe,egm,13.99,https://egmcigars.com/en-gb/products/plasencia-cosecha-149-santa-fe?_pos=1&_sid=57a95d2f4&_ss=r
Plasencia Alma del Campo Sendero,cgars,24.99,https://www.cgarsltd.co.uk/plasencia-alma-del-campo-sendero-cigar-single-p-30368.html
Plasencia Alma del Campo Sendero,egm,16.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-sendero-cigar?variant=43665431920897
Plasencia Alma del Campo Guajiro,egm,16.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-guajiro-cigar?variant=43665427726593
Plasencia Alma Fuerte Robustus II,cgars,32.99,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-colorado-claro-robustus-cigar-single-p-58034.html?keywords=Plasencia+Alma+Fuerte+Robustus+II
Plasencia Alma Fuerte Robustus II,havanahouse,25.96,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-colorado-claro-robustus-ii-cigar-single/
Plasencia Alma Fuerte Sixto II,cgars,38.99,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-sixto-cigar-single-p-30392.html
Plasencia Alma Fuerte Sixto II,havanahouse,35.20,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-sixto-ii-cigar-single/
Plasencia Alma Fuerte Sixto II,simplycigars,40.28,https://www.simplycigars.co.uk/plasencia-alma-fuerte-sixto-single-cigar-p-5034.html
Plasencia Alma Fuerte Sixto II,egm,21.99,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-sixto-ii-cigar?variant=43665093132545
Plasencia Alma Fuerte Sixto II,cigarworld,38,https://cigarworld.co.uk/products/plasencia-alma-fuerte-sixto-ii-cigar-1-single?_pos=2&_sid=484efe963&_ss=r
H. Upmann Magnum 46,cgars,34.99,https://www.cgarsltd.co.uk/upmann-magnum-cigar-single-p-464.html
H. Upmann Magnum 46,havanahouse,36.80,https://www.havanahouse.co.uk/product/h-upmann-magnum-46-cigar-single/
H. Upmann Magnum 46,simplycigars,39.23,https://www.simplycigars.co.uk/upmann-magnum-single-cigar-p-1736.html
H. Upmann Magnum 46,egm,28.99,https://egmcigars.com/en-gb/products/h-upmann-magnum-46-slb?variant=37400139071646
H. Upmann Magnum 46,cigarworld,35.50,https://cigarworld.co.uk/products/h-upmann-magnum-46-cigar-1-single?_pos=2&_psq=H.+Upmann+Magnum+46&_ss=e&_v=1.0
Montecristo No.5,cgars,19.99,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-509.html?keywords=Montecristo+No+5
Montecristo No.5,havanahouse,20.70,https://www.havanahouse.co.uk/product/montecristo-no-5-cigar-single/
Montecristo No.5,simplycigars,22,https://www.simplycigars.co.uk/montecristo-no5-cigar-single-cigar-p-519.html
Montecristo No.5,egm,21.99,https://egmcigars.com/en-gb/products/montecristo-no-5?variant=9075206586415
Montecristo No.5,cigarworld,19.90,https://cigarworld.co.uk/products/montecristo-no-5-single?_pos=1&_psq=Montecristo+No.+5+Cigar&_ss=e&_v=1.0
Plasencia Alma del Campo Madrono,egm,19.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-madrono-cigar?variant=43665445519617
Plasencia Reserva Original Cortez,egm,12.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-cortes-cigar?variant=43667124781313
Plasencia Reserva Original Toro,egm,10.99,https://egmcigars.com/en-gb/products/plasencia-reserva-original-toro-cigar?_pos=1&_psq=Plasencia+Reserva+Original+Toro&_ss=e&_v=1.0
Plasencia Alma del Cielo Amanecer Hexagono,cgars,33.99,https://www.cgarsltd.co.uk/plasencia-alma-del-cielo-amanecer-hexagono-cigar-single-p-63123.html
Plasencia Alma del Cielo Amanecer Hexagono,havanahouse,36.95,https://www.havanahouse.co.uk/product/plasencia-alma-del-cielo-amanecer-sixty-cigar-single/
Plasencia Alma del Cielo Amanecer Hexagono,egm,24.99,https://egmcigars.com/en-gb/products/plasencia-alma-del-cielo-amanecer?variant=46361292144897
Plasencia Alma del Fuego Candente,cgars,23.49,https://www.cgarsltd.co.uk/plasencia-alma-del-fuego-candente-cigar-single-p-37700.html
Plasencia Alma del Fuego Candente,havanahouse,21.46,https://www.havanahouse.co.uk/product/plasencia-alma-del-fuego-candente-cigar-single/
Plasencia Alma del Fuego Candente,simplycigars,24.13,https://www.simplycigars.co.uk/plasencia-alma-del-fuego-candente-single-cigar-p-3944.html
Davidoff Signature 6000,cgars,38.99,https://www.cgarsltd.co.uk/davidoff-signature-6000-robusto-cigar-single-p-11932.html?keywords=Davidoff+Signature+6000
Davidoff Signature 6000,havanahouse,34.96,https://www.havanahouse.co.uk/product/davidoff-signature-6000-robusto-cigar-single/
Davidoff Signature 6000,egm,560.99,https://egmcigars.com/en-gb/products/davidoff-signature-6000-cigar?_pos=1&_psq=Davidoff+Signature+6000&_ss=e&_v=1.0
Drew Estate Liga Privada Unico Dirty Rat,cgars,27.49,https://www.cgarsltd.co.uk/drew-estate-liga-privada-unico-dirty-rat-cigar-single-p-26106.html?keywords=Drew+Estate+Liga+Privada+Unico+Dirty+Rat
Cohiba Esplendidos,cgars,144,https://www.cgarsltd.co.uk/cohiba-esplendidos-cigar-single-p-422.html?keywords=Cohiba+Esplendidos
Cohiba Esplendidos,havanahouse,137,https://www.havanahouse.co.uk/product/cohiba-esplendidos-cigar-single/
Cohiba Esplendidos,simplycigars,125.02,https://www.simplycigars.co.uk/cohiba-esplendidos-cigar-single-cigar-p-446.html
Cohiba Esplendidos,egm,100.99,https://egmcigars.com/en-gb/products/cohiba-esplendidos-bn-1?variant=9074557124655
Cohiba Esplendidos,cigarworld,120,https://cigarworld.co.uk/products/cohiba-esplendidos-cigar-single?_pos=1&_psq=Cohiba+Esplendidos&_ss=e&_v=1.0
Cohiba Robusto,cgars,72.99,https://www.cgarsltd.co.uk/cohiba-robustos-cigar-single-p-426.html?keywords=Cohiba+Robusto
Cohiba Robusto,havanahouse,80,https://www.havanahouse.co.uk/product/cohiba-robusto-cigar-single/
Cohiba Robusto,simplycigars,76.90,https://www.simplycigars.co.uk/cohiba-robusto-single-cigar-p-449.html
Cohiba Robusto,egm,61.99,https://egmcigars.com/en-gb/products/cohiba-robusto-slb?variant=9061373673519
